"id","age","gender","race","driving_experience","education","income","vehicle_year","vehicle_type","credit_score","annual_mileage","vehicle_ownership","married","children","outcome","postal_code","speeding_violations","duis","past_accidents"
569520,"65+",female,majority,"0-9y",high school,upper class,after 2015,sedan,0.629027313918201,12000,1,0,1,0,10238,0,0,0
750365,"16-25",male,majority,"0-9y",none,poverty,before 2015,sedan,0.3577571170184627,16000,0,0,0,1,10238,0,0,0
199901,"16-25",female,majority,"0-9y",high school,working class,before 2015,sedan,0.4931457852181982,11000,1,0,0,0,10238,0,0,0
478866,"16-25",male,majority,"0-9y",university,working class,before 2015,sedan,0.2060128507324556,11000,1,0,1,0,32765,0,0,0
731664,"26-39",male,majority,"10-19y",none,working class,before 2015,sedan,0.3883658881572184,12000,1,0,0,1,32765,2,0,1
877557,"40-64",female,majority,"20-29y",high school,upper class,after 2015,sedan,0.6191273725847388,13000,1,0,1,0,10238,3,0,3
930134,"65+",male,majority,"30y+",high school,upper class,after 2015,sedan,0.4929435502195342,13000,0,1,1,0,10238,7,0,3
461006,"26-39",female,majority,"0-9y",university,working class,after 2015,sedan,0.468689297434465,14000,0,0,1,1,10238,0,0,0
68366,"40-64",female,majority,"20-29y",university,working class,before 2015,sedan,0.5218149362971065,13000,0,1,0,0,10238,0,0,0
445911,"40-64",female,majority,"0-9y",high school,upper class,before 2015,sedan,0.5615310319383646,11000,1,0,1,1,32765,0,0,0
275820,"65+",male,majority,"30y+",high school,upper class,after 2015,sedan,0.6203612640126029,10000,1,1,1,0,10238,6,2,7
521399,"65+",female,majority,"30y+",high school,upper class,after 2015,sedan,0.7298308815593941,12000,1,1,0,0,32765,4,0,0
429728,"40-64",male,majority,"20-29y",high school,upper class,before 2015,sedan,0.6370447435902447,8000,1,1,1,0,10238,4,1,2
980181,"26-39",male,majority,"10-19y",high school,middle class,before 2015,sedan,0.4615679630439447,12000,1,1,1,0,10238,0,2,1
240658,"16-25",female,majority,"0-9y",high school,working class,before 2015,sedan,0.4177139816231188,18000,1,0,1,1,10238,0,0,0
484399,"16-25",female,majority,"0-9y",high school,working class,before 2015,sedan,0.4095135306516067,17000,0,0,0,1,10238,0,0,0
912828,"16-25",male,majority,"0-9y",high school,middle class,after 2015,sedan,0.5532600531952381,8000,1,1,1,1,32765,0,0,0
892754,"40-64",male,majority,"20-29y",none,poverty,before 2015,sedan,0.3309502618581893,13000,1,1,1,0,10238,3,1,1
633896,"65+",male,majority,"30y+",high school,upper class,before 2015,sedan,0.5006306604427161,7000,1,1,1,0,32765,13,2,3
193110,"26-39",female,majority,"10-19y",university,middle class,before 2015,sports car,0.5519701813636283,14000,1,1,0,0,10238,0,0,0
98515,"40-64",male,majority,"10-19y",high school,middle class,before 2015,sedan,0.6269960497386653,13000,1,0,0,0,10238,1,1,0
165623,"26-39",male,majority,"10-19y",none,poverty,before 2015,sedan,0.29479748077199674,15000,1,1,0,0,10238,0,0,1
493590,"26-39",male,majority,"10-19y",university,middle class,after 2015,sedan,0.5519504952618395,17000,0,0,0,0,10238,0,0,1
389792,"65+",male,majority,"0-9y",university,upper class,after 2015,sedan,0.649820471216227,9000,1,1,1,1,32765,0,0,0
642614,"40-64",male,majority,"20-29y",high school,middle class,after 2015,sedan,0.5218044346397632,7000,1,1,1,0,92101,2,0,1
951465,"65+",female,majority,"30y+",university,upper class,before 2015,sedan,0.7012683240604196,10000,1,1,1,0,10238,3,1,1
496987,"16-25",male,majority,"0-9y",none,poverty,before 2015,sedan,0.17124402882132114,9000,1,1,1,0,10238,0,0,0
732437,"16-25",male,majority,"0-9y",none,poverty,before 2015,sedan,0.3184419972124171,10000,1,0,1,1,32765,0,0,0
146897,"26-39",female,majority,"0-9y",high school,middle class,before 2015,sedan,0.6046842696715551,11000,1,1,1,1,21217,0,0,0
316173,"16-25",male,majority,"0-9y",university,working class,after 2015,sedan,0.5049948526440377,8000,0,0,0,1,32765,0,0,0
9013,"26-39",male,majority,"10-19y",high school,working class,before 2015,sedan,0.6251466352816216,17000,1,0,1,0,10238,3,0,2
485660,"40-64",male,majority,"10-19y",university,upper class,before 2015,sedan,0.5781305873212035,14000,1,0,1,0,92101,1,0,1
80496,"65+",male,majority,"30y+",high school,upper class,before 2015,sedan,0.7054542902137054,10000,1,1,1,0,10238,5,1,3
478336,"40-64",male,majority,"20-29y",university,upper class,after 2015,sedan,0.6595254905875941,16000,1,0,1,0,10238,4,0,2
10843,"40-64",male,majority,"20-29y",university,upper class,after 2015,sedan,0.5873836120460223,9000,0,1,1,0,32765,10,2,0
