id,age,gender,race,driving_experience,education,income,vehicle_year,vehicle_type,credit_score,annual_mileage,vehicle_ownership,married,children,Response,postal_code,speeding_violations,duis,past_accidents,Mileage_Category,Credit_to_Mileage_Ratio
569520,65+,female,majority,0-9y,high school,upper class,after 2015,sedan,0.629027313918201,12000,1,0,1,0,10238,0,0,0,Střední_Nájezd,5.241457494527131e-05
750365,16-25,male,majority,0-9y,none,poverty,before 2015,sedan,0.3577571170184627,16000,0,0,0,1,10238,0,0,0,Vysoký_Nájezd,2.235842241225315e-05
199901,16-25,female,majority,0-9y,high school,working class,before 2015,sedan,0.4931457852181982,11000,1,0,0,0,10238,0,0,0,Nízký_Nájezd,4.482735980530844e-05
478866,16-25,male,majority,0-9y,university,working class,before 2015,sedan,0.2060128507324556,11000,1,0,1,0,32765,0,0,0,Nízký_Nájezd,1.8726738544900973e-05
731664,26-39,male,majority,10-19y,none,working class,before 2015,sedan,0.3883658881572184,12000,1,0,0,1,32765,2,0,1,Střední_Nájezd,3.236112725249716e-05
877557,40-64,female,majority,20-29y,high school,upper class,after 2015,sedan,0.6191273725847388,13000,1,0,1,0,10238,3,0,3,Střední_Nájezd,4.762151931272508e-05
930134,65+,male,majority,30y+,high school,upper class,after 2015,sedan,0.4929435502195342,13000,0,1,1,0,10238,7,0,3,Střední_Nájezd,3.791581803088487e-05
461006,26-39,female,majority,0-9y,university,working class,after 2015,sedan,0.468689297434465,14000,0,0,1,1,10238,0,0,0,Vysoký_Nájezd,3.34754158584719e-05
68366,40-64,female,majority,20-29y,university,working class,before 2015,sedan,0.5218149362971065,13000,0,1,0,0,10238,0,0,0,Střední_Nájezd,4.013652305954207e-05
445911,40-64,female,majority,0-9y,high school,upper class,before 2015,sedan,0.5615310319383646,11000,1,0,1,1,32765,0,0,0,Nízký_Nájezd,5.1043635300278576e-05
275820,65+,male,majority,30y+,high school,upper class,after 2015,sedan,0.6203612640126029,10000,1,1,1,0,10238,6,2,7,Nízký_Nájezd,6.20299234089194e-05
521399,65+,female,majority,30y+,high school,upper class,after 2015,sedan,0.7298308815593941,12000,1,1,0,0,32765,4,0,0,Střední_Nájezd,6.0814172282259325e-05
429728,40-64,male,majority,20-29y,high school,upper class,before 2015,sedan,0.6370447435902447,8000,1,1,1,0,10238,4,1,2,Nízký_Nájezd,7.962064036873449e-05
980181,26-39,male,majority,10-19y,high school,middle class,before 2015,sedan,0.4615679630439447,12000,1,1,1,0,10238,0,2,1,Střední_Nájezd,3.846079185434086e-05
240658,16-25,female,majority,0-9y,high school,working class,before 2015,sedan,0.4177139816231188,18000,1,0,1,1,10238,0,0,0,Vysoký_Nájezd,2.320504314333197e-05
484399,16-25,female,majority,0-9y,high school,working class,before 2015,sedan,0.4095135306516067,17000,0,0,0,1,10238,0,0,0,Vysoký_Nájezd,2.4087614296312377e-05
912828,16-25,male,majority,0-9y,high school,middle class,after 2015,sedan,0.5532600531952381,8000,1,1,1,1,32765,0,0,0,Nízký_Nájezd,6.914886304152457e-05
892754,40-64,male,majority,20-29y,none,poverty,before 2015,sedan,0.3309502618581893,13000,1,1,1,0,10238,3,1,1,Střední_Nájezd,2.5455754315682588e-05
633896,65+,male,majority,30y+,high school,upper class,before 2015,sedan,0.5006306604427161,7000,1,1,1,0,32765,13,2,3,Nízký_Nájezd,7.150845028463306e-05
193110,26-39,female,majority,10-19y,university,middle class,before 2015,sports car,0.5519701813636283,14000,1,1,0,0,10238,0,0,0,Vysoký_Nájezd,3.942362555271968e-05
98515,40-64,male,majority,10-19y,high school,middle class,before 2015,sedan,0.6269960497386653,13000,1,0,0,0,10238,1,1,0,Střední_Nájezd,4.822675561408086e-05
165623,26-39,male,majority,10-19y,none,poverty,before 2015,sedan,0.2947974807719967,15000,1,1,0,0,10238,0,0,1,Vysoký_Nájezd,1.9651855261115705e-05
493590,26-39,male,majority,10-19y,university,middle class,after 2015,sedan,0.5519504952618395,17000,0,0,0,0,10238,0,0,1,Vysoký_Nájezd,3.24657664409058e-05
389792,65+,male,majority,0-9y,university,upper class,after 2015,sedan,0.649820471216227,9000,1,1,1,1,32765,0,0,0,Nízký_Nájezd,7.219425299591456e-05
642614,40-64,male,majority,20-29y,high school,middle class,after 2015,sedan,0.5218044346397632,7000,1,1,1,0,92101,2,0,1,Nízký_Nájezd,7.453284311380707e-05
951465,65+,female,majority,30y+,university,upper class,before 2015,sedan,0.7012683240604196,10000,1,1,1,0,10238,3,1,1,Nízký_Nájezd,7.011982042399957e-05
496987,16-25,male,majority,0-9y,none,poverty,before 2015,sedan,0.1712440288213211,9000,1,1,1,0,10238,0,0,0,Nízký_Nájezd,1.9025000424544062e-05
732437,16-25,male,majority,0-9y,none,poverty,before 2015,sedan,0.3184419972124171,10000,1,0,1,1,32765,0,0,0,Nízký_Nájezd,3.1841015619679746e-05
146897,26-39,female,majority,0-9y,high school,middle class,before 2015,sedan,0.6046842696715551,11000,1,1,1,1,21217,0,0,0,Nízký_Nájezd,5.496630030647714e-05
316173,16-25,male,majority,0-9y,university,working class,after 2015,sedan,0.5049948526440377,8000,0,0,0,1,32765,0,0,0,Nízký_Nájezd,6.311646702212694e-05
9013,26-39,male,majority,10-19y,high school,working class,before 2015,sedan,0.6251466352816216,17000,1,0,1,0,10238,3,0,2,Vysoký_Nájezd,3.6771168477243784e-05
485660,40-64,male,majority,10-19y,university,upper class,before 2015,sedan,0.5781305873212035,14000,1,0,1,0,92101,1,0,1,Vysoký_Nájezd,4.129209251633479e-05
80496,65+,male,majority,30y+,high school,upper class,before 2015,sedan,0.7054542902137054,10000,1,1,1,0,10238,5,1,3,Nízký_Nájezd,7.053837518385216e-05
478336,40-64,male,majority,20-29y,university,upper class,after 2015,sedan,0.6595254905875941,16000,1,0,1,0,10238,4,0,2,Vysoký_Nájezd,4.121776705128393e-05
10843,40-64,male,majority,20-29y,university,upper class,after 2015,sedan,0.5873836120460223,9000,0,1,1,0,32765,10,2,0,Nízký_Nájezd,6.525759493900926e-05
397446,16-25,male,majority,0-9y,none,poverty,before 2015,sedan,0.4064824253974476,16000,0,0,0,1,10238,0,0,0,Vysoký_Nájezd,2.5403563864598937e-05
101678,26-39,female,majority,10-19y,high school,poverty,before 2015,sedan,0.2857471319596469,13000,0,0,1,1,10238,1,0,0,Střední_Nájezd,2.197885793090123e-05
231661,40-64,male,majority,20-29y,high school,middle class,before 2015,sports car,0.5022849652731057,14000,0,0,0,0,10238,3,0,4,Vysoký_Nájezd,3.5874935024148686e-05
173782,65+,male,majority,20-29y,high school,upper class,after 2015,sedan,0.6256257210210231,7000,1,1,1,0,10238,7,0,5,Nízký_Nájezd,8.936233695486688e-05
98839,26-39,female,minority,10-19y,university,working class,before 2015,sedan,0.3931531299744003,12000,1,0,1,0,32765,1,0,0,Střední_Nájezd,3.276003082863097e-05
105372,26-39,female,minority,10-19y,none,working class,before 2015,sedan,0.5039497598168121,14000,0,0,1,0,10238,1,0,0,Vysoký_Nájezd,3.599384042688466e-05
569640,16-25,female,majority,0-9y,university,upper class,before 2015,sedan,0.59125997174597,11697,1,0,1,0,10238,0,0,0,Střední_Nájezd,5.0543680265512907e-05
906223,26-39,female,majority,0-9y,high school,upper class,after 2015,sedan,0.7627979410816134,11697,0,1,0,0,10238,0,0,0,Střední_Nájezd,6.520755181070382e-05
517747,65+,male,majority,30y+,university,upper class,before 2015,sedan,0.7961748462456987,11697,1,1,1,0,32765,10,2,1,Střední_Nájezd,6.80607664768079e-05
104086,26-39,female,majority,0-9y,university,upper class,before 2015,sedan,0.6805942795073384,11697,1,0,1,1,32765,0,0,0,Střední_Nájezd,5.81803966068848e-05
888828,40-64,male,majority,20-29y,university,upper class,before 2015,sedan,0.6586274302571438,14000,1,1,0,0,10238,3,0,2,Vysoký_Nájezd,4.704145634291435e-05
37454,26-39,female,majority,0-9y,high school,working class,before 2015,sedan,0.5241464657501199,17000,0,0,0,1,10238,0,0,0,Vysoký_Nájezd,3.083033149521322e-05
370044,65+,male,majority,20-29y,university,upper class,after 2015,sedan,0.5531007570628673,7000,0,1,1,0,32765,9,0,1,Nízký_Nájezd,7.900310770787992e-05
768282,16-25,female,majority,0-9y,university,working class,before 2015,sedan,0.4475509489142775,8000,0,1,1,1,10238,0,0,0,Nízký_Nájezd,5.5936876504721594e-05
738729,16-25,female,majority,0-9y,none,working class,before 2015,sedan,0.5107331365064207,7000,1,1,1,1,10238,0,0,0,Nízký_Nájezd,7.295145500734476e-05
329536,16-25,female,majority,0-9y,high school,poverty,before 2015,sedan,0.4613735917269193,9000,0,0,0,1,32765,0,0,0,Nízký_Nájezd,5.125803707664918e-05
328531,40-64,female,majority,20-29y,university,middle class,after 2015,sedan,0.3875569443647317,12000,0,0,1,0,32765,2,0,1,Střední_Nájezd,3.229372088698706e-05
131881,26-39,male,majority,10-19y,university,working class,before 2015,sedan,0.5501250875743224,16000,1,0,0,0,10238,0,1,0,Vysoký_Nájezd,3.438066918157131e-05
839572,40-64,male,majority,20-29y,high school,working class,before 2015,sedan,0.4529442316093683,12000,0,1,1,0,10238,3,0,1,Střední_Nájezd,3.7742207450159846e-05
589757,40-64,female,majority,20-29y,high school,upper class,before 2015,sedan,0.5352743096602144,7000,1,1,1,0,92101,2,0,0,Nízký_Nájezd,7.645683611772809e-05
336859,16-25,female,majority,0-9y,university,middle class,before 2015,sedan,0.6147359485632915,15000,1,0,1,1,10238,0,0,0,Vysoký_Nájezd,4.097966459324655e-05
367026,40-64,female,minority,10-19y,high school,working class,before 2015,sedan,0.5326613280250595,11000,1,1,1,0,10238,0,0,0,Nízký_Nájezd,4.8419355333611444e-05
334687,40-64,female,minority,0-9y,university,middle class,before 2015,sedan,0.4277285143019345,15000,1,0,0,1,10238,0,0,0,Vysoký_Nájezd,2.851333339790244e-05
623367,65+,male,majority,20-29y,university,upper class,before 2015,sedan,0.6859457213719147,5000,1,1,1,0,32765,4,1,4,Nízký_Nájezd,0.00013716171193199655
688440,65+,male,majority,10-19y,university,upper class,before 2015,sedan,0.6936124267187082,10000,1,1,1,0,10238,2,0,0,Nízký_Nájezd,6.93543072411467e-05
547974,65+,male,majority,20-29y,high school,upper class,before 2015,sedan,0.5979905963582334,12000,0,1,1,1,10238,2,1,7,Střední_Nájezd,4.982839733007527e-05
989064,26-39,male,majority,0-9y,none,poverty,after 2015,sedan,0.3308186664986927,12000,0,1,1,1,10238,0,0,0,Střední_Nájezd,2.756592504780374e-05
675898,16-25,male,majority,0-9y,high school,middle class,before 2015,sedan,0.5083042183803546,16000,1,0,1,0,10238,0,0,0,Vysoký_Nájezd,3.1767028209509065e-05
480452,26-39,female,majority,0-9y,university,upper class,before 2015,sedan,0.7641329165005233,12000,1,1,1,0,10238,0,0,0,Střední_Nájezd,6.367243700529317e-05
93199,40-64,female,majority,0-9y,university,middle class,after 2015,sedan,0.4775169603837716,14000,1,1,1,0,10238,0,0,0,Vysoký_Nájezd,3.410591817611396e-05
125802,40-64,female,majority,20-29y,university,upper class,before 2015,sedan,0.6812332078486962,10000,1,1,1,0,10238,0,0,1,Nízký_Nájezd,6.811650913395622e-05
616663,40-64,male,majority,0-9y,university,upper class,after 2015,sedan,0.4671555457007022,16000,1,0,0,0,10238,0,0,0,Vysoký_Nájezd,2.9195396893988016e-05
423497,16-25,female,majority,0-9y,high school,working class,before 2015,sedan,0.3941632454999797,16000,1,0,0,1,10238,0,0,0,Vysoký_Nájezd,2.4633663239796247e-05
492837,40-64,female,majority,10-19y,university,upper class,after 2015,sedan,0.6610607322734078,14000,1,1,1,0,10238,0,0,0,Vysoký_Nájezd,4.7215251215870854e-05
422563,40-64,male,majority,20-29y,university,upper class,before 2015,sedan,0.6651879748430346,14000,0,0,1,0,10238,2,0,1,Vysoký_Nájezd,4.751003320070242e-05
185231,16-25,female,majority,0-9y,high school,middle class,before 2015,sedan,0.560770206632082,11000,1,0,1,0,10238,0,0,0,Nízký_Nájezd,5.097447565058467e-05
949152,26-39,female,majority,10-19y,university,upper class,after 2015,sedan,0.7454327103696547,9000,0,0,0,0,32765,0,0,0,Nízký_Nájezd,8.281665485719973e-05
859453,26-39,male,majority,10-19y,university,middle class,before 2015,sedan,0.53257435224505,13000,1,1,1,0,10238,1,0,2,Střední_Nájezd,4.0964106779866934e-05
466578,26-39,female,majority,10-19y,high school,middle class,after 2015,sedan,0.5267473391434415,14000,1,0,1,0,10238,0,0,0,Vysoký_Nájezd,3.762212264434265e-05
998214,16-25,female,minority,0-9y,none,poverty,before 2015,sedan,0.4124517461654282,14000,0,0,0,1,10238,0,0,0,Vysoký_Nájezd,2.9458734816472266e-05
828462,40-64,male,majority,20-29y,high school,working class,before 2015,sedan,0.3871071449018297,16000,0,0,1,0,10238,0,0,6,Vysoký_Nájezd,2.4192684513582255e-05
511837,65+,male,majority,10-19y,high school,middle class,before 2015,sedan,0.5499938678343249,9000,1,1,1,0,32765,3,1,1,Nízký_Nájezd,6.110364046598433e-05
554995,16-25,male,majority,0-9y,university,upper class,before 2015,sports car,0.5853420947575604,12000,1,1,1,1,10238,0,0,0,Střední_Nájezd,4.877444335951674e-05
680717,65+,male,majority,30y+,none,middle class,before 2015,sedan,0.5987396054343311,14000,1,1,1,0,10238,6,1,3,Vysoký_Nájezd,4.27640600981595e-05
978021,40-64,male,majority,20-29y,university,upper class,after 2015,sedan,0.6026557000791793,7000,1,1,1,0,10238,4,0,6,Nízký_Nájezd,8.608137410072551e-05
6676,40-64,female,majority,20-29y,high school,upper class,before 2015,sedan,0.5586591735288894,15000,0,0,1,0,10238,3,0,2,Vysoký_Nájezd,3.724146213778344e-05
362280,40-64,male,majority,10-19y,high school,working class,before 2015,sedan,0.6284070137170304,13000,0,0,0,1,10238,0,0,0,Střední_Nájezd,4.833528295646723e-05
883018,40-64,male,majority,0-9y,high school,working class,before 2015,sedan,0.5057903732571783,13000,1,0,1,0,10238,0,0,0,Střední_Nájezd,3.890395917676935e-05
889355,26-39,female,majority,10-19y,university,upper class,before 2015,sedan,0.7268184180645275,15000,1,1,1,0,10238,2,0,0,Vysoký_Nájezd,4.84513311155608e-05
198273,65+,male,majority,20-29y,university,upper class,after 2015,sedan,0.6904423335733175,9000,1,1,1,0,32765,8,0,2,Nízký_Nájezd,7.67072918090565e-05
197763,40-64,male,majority,20-29y,university,upper class,after 2015,sedan,0.4796771646619314,14000,0,1,0,0,10238,1,0,2,Vysoký_Nájezd,3.4260207461033596e-05
123941,40-64,female,majority,20-29y,university,middle class,after 2015,sedan,0.5701572256616224,11697,1,1,1,0,10238,0,0,0,Střední_Nájezd,4.87397183844779e-05
